,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
1464,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",upholds the values of Ethics and Transparency in its workforce,Governance,Uphold values of Ethics and Transparency in its workforce,null,ongoing,Qualitative
1465,583,"The Company and its subsidiaries are committed to ESG initiatives, endeavouring to define both immediate and long term goals for Sustainability-related KPIs. These objectives span various realms including Climate change mitigation, Energy efficiency, Water conservation, Waste management, Air emission reduction and GHG mitigation. Moreover, the Company prioritizes the well-being of its employees and workers through rigorous Health and safety practices. It upholds the values of Ethics and Transparency in its workforce, followed by a robust governance framework.",followed by a robust governance framework,Governance,Maintain a robust governance framework,null,ongoing,Qualitative
1466,586,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Committee focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1. Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;
2. Monitoring energy consumption trends to identify energy-saving opportunities;
3. Improvement in supply chain efficiency;
4. Insurance coverage to minimize potential losses
5. Separate teams have been formed across the organization to focus on likely risks and mitigation plan.","Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;",Climate,To install energy efficient lighting equipment,null,ongoing,
1467,586,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Committee focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1. Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;
2. Monitoring energy consumption trends to identify energy-saving opportunities;
3. Improvement in supply chain efficiency;
4. Insurance coverage to minimize potential losses
5. Separate teams have been formed across the organization to focus on likely risks and mitigation plan.",Monitoring energy consumption trends to identify energy-saving opportunities;,Climate,To monitor energy consumption trends and identify energy-saving opportunities,null,ongoing,
1468,586,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Committee focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1. Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;
2. Monitoring energy consumption trends to identify energy-saving opportunities;
3. Improvement in supply chain efficiency;
4. Insurance coverage to minimize potential losses
5. Separate teams have been formed across the organization to focus on likely risks and mitigation plan.",Improvement in supply chain efficiency;,Supply Chain,To improve supply chain efficiency,null,ongoing,
1469,586,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Committee focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1. Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;
2. Monitoring energy consumption trends to identify energy-saving opportunities;
3. Improvement in supply chain efficiency;
4. Insurance coverage to minimize potential losses
5. Separate teams have been formed across the organization to focus on likely risks and mitigation plan.",Insurance coverage to minimize potential losses,Governance,To maintain insurance coverage to minimize potential losses,null,ongoing,
1470,586,"In the beginning of the financial year specific goals, commitments and target placed before the Board of Directors. The Risk Management Committee focusing on various parameters to monitor the performance to achieve its targets. The following activities are undertaken to meet the commitments:
1. Installed energy efficient lighting equipment, replacing CFL lighting with LED lights across our premises;
2. Monitoring energy consumption trends to identify energy-saving opportunities;
3. Improvement in supply chain efficiency;
4. Insurance coverage to minimize potential losses
5. Separate teams have been formed across the organization to focus on likely risks and mitigation plan.",Separate teams have been formed across the organization to focus on likely risks and mitigation plan.,Governance,To form and maintain teams to focus on likely risks and mitigation plan,null,ongoing,
1471,587,"The Company has set targets for ESG commitment, inter
alia, related to Energy conservation, Nature positive, Safe
workplace, equitable & inclusive workplace, Water stewardship,
Ethics, transparency, quality and accountability, governance
and Sustainable supply chain management. The Company
monitors the performance against the specific commitments on
an ongoing basis.",Energy conservation,Climate,Energy conservation,null,ongoing,
1472,587,"The Company has set targets for ESG commitment, inter
alia, related to Energy conservation, Nature positive, Safe
workplace, equitable & inclusive workplace, Water stewardship,
Ethics, transparency, quality and accountability, governance
and Sustainable supply chain management. The Company
monitors the performance against the specific commitments on
an ongoing basis.",Nature positive,Biodiversity,Nature positive,null,ongoing,
1473,587,"The Company has set targets for ESG commitment, inter
alia, related to Energy conservation, Nature positive, Safe
workplace, equitable & inclusive workplace, Water stewardship,
Ethics, transparency, quality and accountability, governance
and Sustainable supply chain management. The Company
monitors the performance against the specific commitments on
an ongoing basis.",Safe workplace,Health & Safety,Safe workplace,null,ongoing,
1474,587,"The Company has set targets for ESG commitment, inter
alia, related to Energy conservation, Nature positive, Safe
workplace, equitable & inclusive workplace, Water stewardship,
Ethics, transparency, quality and accountability, governance
and Sustainable supply chain management. The Company
monitors the performance against the specific commitments on
an ongoing basis.",equitable & inclusive workplace,CSR,Equitable & inclusive workplace,null,ongoing,
1475,587,"The Company has set targets for ESG commitment, inter
alia, related to Energy conservation, Nature positive, Safe
workplace, equitable & inclusive workplace, Water stewardship,
Ethics, transparency, quality and accountability, governance
and Sustainable supply chain management. The Company
